08116;Esslingen;508577;512279;516779;524127;528792
08117;Göppingen;247835;248813;250117;252749;254618
08118;Ludwigsburg;516748;521633;526377;534074;537902
08119;Rems-Murr-Kreis;408827;411025;414016;419456;422698
08121;Heilbronn;117531;118122;119841;122567;123771
08125;Heilbronn;324543;326035;329250;334388;337571
08126;Hohenlohekreis;107498;107866;108816;110181;110689
08127;Schwäbisch Hall;186928;187682;188974;191614;192958
08128;Main-Tauber-Kreis;129842;129857;130299;132181;132274
08135;Heidenheim;127608;127947;128894;130527;131498
08136;Ostalbkreis;306484;306933;308205;312650;311587
08211;Baden-Baden;52585;53012;53342;54160;54307
08212;Karlsruhe;296033;299103;300051;307755;309999
08215;Karlsruhe;427106;429186;431315;435841;440337
08216;Rastatt;222472;223311;224687;227474;228907
08221;Heidelberg;150335;152113;154715;156267;159914
08222;Mannheim;294627;296690;299844;305780;304781
08225;Neckar-Odenwald-Kreis;141847;141584;141651;142936;143278
08226;Rhein-Neckar-Kreis;527287;531013;534729;541859;544400
08231;Pforzheim;116425;117754;119291;122247;123493
08235;Calw;150709;151461;152766;155359;155960
08236;Enzkreis;192092;192811;193728;196066;197246
08237;Freudenstadt;115055;114793;115147;116233;116692
08311;Freiburg im Breisgau;218043;220286;222203;226393;227590
08315;Breisgau-Hochschwarzwald;247711;250137;252749;257343;260416
08316;Emmendingen;157399;158177;159708;162082;163251
08317;Ortenaukreis;411700;412678;415639;420106;423359
08325;Rottweil;135553;135319;135912;137500;138327
08326;Schwarzwald-Baar-Kreis;204585;205090;206116;209648;210084
08327;Tuttlingen;132476;133198;134607;136606;138119
08335;Konstanz;270568;273407;275785;280288;282191
08336;Lörrach;220606;221943;223692;226708;227545
08337;Waldshut;163699;164265;165211;167861;168852
08415;Reutlingen;274691;276019;278031;282113;284082
08416;Tübingen;214894;216535;218355;221837;224635
08417;Zollernalbkreis;184658;184615;186360;188595;187401
08421;Ulm;117977;119218;120714;122636;123953
08425;Alb-Donau-Kreis;187123;187892;189129;192104;193318
08426;Biberach;187747;188696;190438;194019;196206
08435;Bodenseekreis;205843;207450;209386;212201;213070
08436;Ravensburg;272425;273540;275339;279296;281627
